Cycle,Condition,Z_stack,Channel,Marker,Path,Path_corrected
Concanavadin A,Fw3,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_Concanavadin A_DAPI.tiff
Concanavadin A,Fw3,3,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z003_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw3,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_Concanavadin A_DAPI.tiff
Concanavadin A,Fw3,4,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z004_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw3,5,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z005_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_Concanavadin A_DAPI.tiff
Concanavadin A,Fw3,5,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z005_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw3,6,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z006_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_Concanavadin A_DAPI.tiff
Concanavadin A,Fw3,6,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z006_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_Concanavadin A_Concanavadin A.tiff
CycD1,Fw1,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_CycD1_DAPI.tiff
CycD1,Fw1,1,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z001_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_CycD1_APC.tiff
